experiment,train_losses,val_losses,memory_usage_MB,training_time_seconds,test_loss,bleu_score,trainable_parameters,max_memory_mb,target_modules,error
lora_vision_only,"[9.1095, 8.7356, 8.6907, 8.6234, 8.5891]","[8.7735, 8.6986, 8.6416, 8.6102, 8.5934]","[352.2, 378.4, 385.1, 389.3, 392.7]",71280.0,8.5234,0.1247,1327104,445.3,"[""q_proj"", ""k_proj"", ""v_proj"", ""out_proj"", ""fc1"", ""fc2""]",""
lora_text_only,"[8.3241, 8.1456, 8.0123, 7.9567, 7.8934]","[8.1567, 7.9823, 7.9234, 7.8756, 7.8423]","[452.9, 478.3, 485.7, 492.1, 496.8]",64800.0,7.8156,0.1389,663552,800.8,"[""query"", ""key"", ""value"", ""dense""]",""
